intent,intent_code
big,0
cheap,0
inexpensive,0
simple,0
poor,0
rip-off,0
over priced,0
low,0
budget,0
economical,0
saving,0
cost-effective,0
practical,0
prudent,0
thrifty,0
careful,0
cautious,0
casual,0
comfortable,0
little,0
minimal,0
small,0
less,0
competitive,0
bargain,0
cut,0
half,0
dime,0
sale,0
uncostly,0
easy,0
penny,0
modest,0
basic,0
ordinary,0
reasonable,0
standard,0
normal,0
acceptable,0
typical,0
usual,0
anything,0
any,0
whatever,0
not important,0
all kinds,0
all sort,0
doesn't matter,0
medium,0
mediocre,0
common,0
fair,0
mean,0
so-so,0
average,0
moderate,0
neutral,0
general,0
regular,0
boilerplate,0
value for dollar,0
premium,0
high,0
gourmet,0
fine,0
top,0
best,0
upscale,0
upper class,0
expensive,0
pricey,0
prestige,0
esteem,0
status,0
celebrity,0
luxury,0
affluence,0
richness,0
extravagance,0
delight,0
deluxe,0
fancy,0
lavish,0
costly,0
don't care,0
few,0
good,0
excellent,0
great,0
absolutely,0
actually,0
amazing,0
awesome,0
bad,0
disappointed,0
huge,0
price,1
priced,1
pricing,1
costing,1
cost,1
amount,1
pay,1
paying,1
payment,1
money,1
spend,1
spending,1
charge,1
charged,1
charges,1
charging,1
rating,1
rated,1
ranking,1
rank,1
ranked,1
stars,1
evaluated,1
class,1
level,1
score,1
ask,1
attentive,1
chicken,1
hello,1
morning,1
table,1
winter,1
blue,1
grow,1
movie,1
expected,1
why,1
experience,1
broom,1
craft,1
journey,1
creation,1
blur,1
sky,1
flower,1
lion,1
study,1
going,1
change,1
moon,1
music,1
expedition,1
summer,1
ocean,1
according,1
theoretical,1
instrumental,1
clarify,1
because,1
Knowledge,1
familiarity,1
awareness,1
understanding,1
someone ,1
skills,1
account,1
acquired,1
different,1
sources,1
limited,1
philosophy,1
approach,1
Ludwig,1
James,1
believe,1
argue,1
mental,1
state,1
speak,1
engaged,1
task,1
family,1
restaurant,1
friend,1
food,1
place,1
back,1
get,1
one,1
order,1
really,1
come,1
always,1
meal,1
night,1
first,1
eat,1
dine,1
side,1
ever,1
never,1
breakfast,1
lunch,1
brunch,1
dinner,1
two,1
minutes,1
said,1
right,1
area,1
know,1
salad,1
way,1
small,1
want,1
around,1
say,1
sure,1
think,1
atmosphere,1
Cleveland,1
make,1
another,1
asked,1
away,1
bowl,1
check,1
coming,1
dish,1
enough,1
everything,1
feel,1
find,1
full,1
give,1
husband,1
inside,1
kind,1
last,1
left,1
looking,1
new,1
next,1
open,1
options,1
outside,1
parking,1
places,1
restaurants,1
see,1
select,1
since,1
something,1
spot,1
steak,1
tables,1
take,1
tasted,1
thing,1
things,1
told,1
top,1
visit,1
work,1
bar,1
better,1
bit,1
busy,1
came,1
cool,1
decide,1
definitely,1
delicious,1
dining,1
dishes,1
drink,1
drinks,1
enjoy,1
even,1
fantastic,1
fast,1
quick,1
favorite,1
flavor,1
fresh,1
friendly,1
fun,1
happy,1
home,1
hot,1
Im,1
items,1
Ive,1
like,1
lot,1
love,1
manager,1
many,1
much,1
nasty,1
need,1
nice,1
perfect,1
pretty,1
quality,1
recommend,1
room,1
seated,1
served,1
Service,1
slow,1
soup,1
special,1
spicy,1
still,1
stop,1
stuff,1
super,1
taste,1
tasty,1
thought,1
took,1
town,1
tried,1
try,1
waiter,1
well,1
went,1
wonderful,1
years,1
