sentence,intent,value
cheap,price,low
inexpensive,price,low
simple,price,low
poor,price,low
rip-off,price,low
over priced,price,low
low,price,low
budget,price,low
economical,price,low
saving,price,low
cost-effective,price,low
practical,price,low
prudent,price,low
thrifty,price,low
careful,price,low
cautious,price,low
casual,price,low
comfortable,price,low
little,price,low
minimal,price,low
small,price,low
less,price,low
competitive,price,low
bargain,price,low
cut,price,low
half,price,low
dime,price,low
sale,price,low
uncostly,price,low
easy,price,low
penny,price,low
modest,price,low
basic,price,low
ordinary,price,low
reasonable,price,medium
standard,price,medium
normal,price,medium
acceptable,price,medium
typical,price,medium
usual,price,medium
anything,price,medium
any,price,medium
whatever,price,medium
not important,price,medium
all kinds,price,medium
all sort,price,medium
doesn't matter,price,medium
medium,price,medium
mediocre,price,medium
common,price,medium
fair,price,medium
mean,price,medium
so-so,price,medium
average,price,medium
moderate,price,medium
neutral,price,medium
general,price,medium
regular,price,medium
boilerplate,price,medium
value for dollar,price,medium
premium,price,high
high,price,high
gourmet,price,high
fine,price,high
top,price,high
best,price,high
upscale,price,high
upper class,price,high
expensive,price,high
pricey,price,high
rich,price,high
prestige,price,high
esteem,price,high
status,price,high
celebrity,price,high
luxury,price,high
affluence,price,high
richness,price,high
extravagance,price,high
delight,price,high
deluxe,price,high
fancy,price,high
lavish,price,high
costly,price,high
don't care,price,any
anything,price,any
any,price,any
whatever,price,any
not important,price,any
all kinds,price,any
all sort,price,any
doesn't matter,price,any
poor,ranking,low
low,ranking,low
basic,ranking,low
few,ranking,low
minimal,ranking,low
modest,ranking,low
less,ranking,low
ordinary,ranking,low
reasonable,ranking,medium
standard,ranking,medium
normal,ranking,medium
acceptable,ranking,medium
typical,ranking,medium
usual,ranking,medium
medium,ranking,medium
mediocre,ranking,medium
common,ranking,medium
fair,ranking,medium
mean,ranking,medium
so-so,ranking,medium
average,ranking,medium
moderate,ranking,medium
neutral,ranking,medium
general,ranking,medium
regular,ranking,medium
boilerplate,ranking,medium
good,ranking,medium
premium,ranking,high
high,ranking,high
excellent,ranking,high
fine,ranking,high
top,ranking,high
best,ranking,high
upscale,ranking,high
upper class,ranking,high
great,ranking,high
best,ranking,high
prestige,ranking,high
deluxe,ranking,high
competitive,ranking,high
don't care,ranking,any
anything,ranking,any
any,ranking,any
whatever,ranking,any
not important,ranking,any
all kinds,ranking,any
all sort,ranking,any
doesn't matter,ranking,any
